Mon Apr 17 2023 20:57:21 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 20:57:21 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 20:57:21 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 20:57:21 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 20:57:21 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 20:57:22 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Mon Apr 17 2023 21:16:38 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 21:16:38 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 21:16:38 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 21:16:38 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 21:16:39 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 21:16:39 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Mon Apr 17 2023 21:17:42 GMT-0300 (Horário Padrão de Brasília), POST, /api/tatuador/, undefined 
Mon Apr 17 2023 21:38:15 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 21:38:16 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 21:38:16 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 21:38:16 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 21:38:16 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 21:39:06 GMT-0300 (Horário Padrão de Brasília), GET, /api/tatuador/, undefined 
Mon Apr 17 2023 21:42:37 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 21:42:37 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 21:42:37 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 21:42:37 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 21:42:37 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 21:42:55 GMT-0300 (Horário Padrão de Brasília), GET, /api/tatuador/, undefined 
Mon Apr 17 2023 21:45:00 GMT-0300 (Horário Padrão de Brasília), POST, /api/tatuador/, undefined 
Mon Apr 17 2023 21:45:35 GMT-0300 (Horário Padrão de Brasília), POST, /api/tatuador/, undefined 
Mon Apr 17 2023 21:46:50 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 21:46:52 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 21:46:52 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 21:46:52 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 21:46:52 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 21:48:12 GMT-0300 (Horário Padrão de Brasília), POST, /api/tatuador/, undefined 
Mon Apr 17 2023 21:48:30 GMT-0300 (Horário Padrão de Brasília), POST, /api/tatuador/, undefined 
Mon Apr 17 2023 21:49:52 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 21:49:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 21:49:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 21:49:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 21:49:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 21:55:03 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Mon Apr 17 2023 21:55:03 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Mon Apr 17 2023 21:55:03 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Mon Apr 17 2023 21:55:03 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Mon Apr 17 2023 21:55:03 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Mon Apr 17 2023 21:56:11 GMT-0300 (Horário Padrão de Brasília), POST, /api/tatuador/, undefined 
